title,age_rating,duration_min,genre,budget,revenue,platform
Once Upon a Time in Mumbaai,13+,133.0,"Drama, International, Musicals",97637676.67,323270611.73,Netflix
Once Upon a Time in Mumbai Dobaara!,13+,142.0,"Drama, International, Musicals",156118395.9,518838742.68,Netflix
Ragini MMS,18+,93.0,"Horror, International",211202668.71,703048657.0,Netflix
Ragini MMS 2,18+,113.0,"Horror, International",109725251.11,363693239.42,Netflix
SAS: Rise of the Black Swan,R,124.0,"Action, International",291562842.73,971784904.51,Netflix
Shootout at Lokhandwala,18+,116.0,"Action, Drama, International",288771741.19,962451050.21,Netflix
Shor In the City,13+,106.0,"Comedy, Drama",76282906.45,251857117.6,Netflix
The Dirty Picture,13+,145.0,"Comedy, Drama, International",149677303.26,497298781.04,Netflix
"Bob Ross: Happy Accidents, Betrayal & Greed",13+,93.0,Documentary and Educational,90962614.64,300948221.99,Netflix
Really Love,18+,95.0,Drama,86167307.82,284912010.33,Netflix
The November Man,R,108.0,Action,12029197.26,36983258.66,Netflix
The Old Ways,18+,90.0,Horror,183259735.86,609603377.55,Netflix
The River Runner,18+,86.0,"Documentary and Educational, Sports",151301027.95,502728755.33,Netflix
The Water Man,PG,92.0,"Drama, Family and Children",16392146.62,51573603.37,Netflix
Count Me In,18+,82.0,"Documentary and Educational, Musicals",84315292.81,278718599.59,Netflix
Untold: Caitlyn Jenner,PG,70.0,"Diversity, Documentary and Educational, Sports",272571499.9,908275059.38,Netflix
Boomika,13+,122.0,"Horror, International, Thriller",72629005.31,239637934.48,Netflix
Boomika (Hindi),13+,122.0,"Horror, International, Thriller",44323566.76,144980382.6,Netflix
Boomika (Malayalam),13+,122.0,"Horror, International, Thriller",147346375.32,489503815.0,Netflix
Boomika (Telugu),13+,122.0,"Horror, International, Thriller",295709485.78,985651889.07,Netflix
The Witcher: Nightmare of the Wolf,18+,84.0,"Action, Animation",73374526.18,242131065.98,Netflix
Gunshot,13+,96.0,"Drama, International, Thriller",201968528.67,672168333.85,Netflix
Man in Love,18+,115.0,"Drama, International",228724264.98,761643453.37,Netflix
Sweet Girl,R,110.0,"Action, Drama",72053625.65,237713780.24,Netflix
The Loud House Movie,PG,88.0,"Comedy, Family and Children, Musicals",218736688.23,728243526.98,Netflix
A Faraway Land,PG,102.0,"Drama, International",110967156.68,367846354.41,Netflix
Like Crazy,13+,91.0,Drama,190059443.35,632342600.01,Netflix
Black Island,18+,105.0,"International, Thriller",190425383.52,633566357.79,Netflix
Bombay,13+,135.0,"Drama, International",161196630.54,535821106.61,Netflix
Memories of a Murderer: The Nilsen Tapes,18+,86.0,"Documentary and Educational, International",27996641.25,90380741.08,Netflix
Nneka The Pretty Serpent,13+,140.0,"Drama, International",250755446.18,835318965.34,Netflix
O Kadhal Kanmani,13+,133.0,"Drama, International",96913239.43,320847986.97,Netflix
Out of my league,18+,92.0,"Comedy, Drama, International",56769034.61,186599858.55,Netflix
Pahuna,PG,82.0,"Comedy, Drama, International",13191767.32,40871064.04,Netflix
The Secret Diary of an Exchange Student,13+,97.0,"Comedy, Drama, International",177676990.01,590933853.89,Netflix
Untold: Deal With the Devil,18+,78.0,"Diversity, Documentary and Educational, Sports",203591744.19,677596605.41,Netflix
Walk of Shame,R,94.0,"Comedy, Drama",5959760.85,16686170.14,Netflix
The Piano,R,121.0,"Adventure, Drama",154115824.43,512141848.99,Netflix
Unroyal,18+,97.0,"Drama, International",68722236.78,226573125.62,Netflix
Beckett,18+,110.0,Action,193906664.33,645208273.13,Netflix
Lokillo: Nothing's the Same,18+,64.0,Comedy,53135562.27,174448992.36,Netflix
Monster Hunter: Legends of the Guild,PG,59.0,"Action, Animation, Family and Children",207590383.69,690968644.33,Netflix
Brother Jekwu,13+,101.0,"Comedy, International",116633868.54,386796672.77,Netflix
La diosa del asfalto,18+,127.0,"Drama, International",281082266.63,936736315.74,Netflix
Misha and the Wolves,13+,90.0,"Documentary and Educational, International",42118762.3,137607192.05,Netflix
The Kissing Booth 3,13+,114.0,"Comedy, Drama",102978838.96,341132244.42,Netflix
The Railway Man,R,108.0,"Drama, International",34928582.85,113562173.89,Netflix
Untold: Malice at the Palace,18+,70.0,"Documentary and Educational, Sports",277483391.87,924701148.92,Netflix
Quartet,13+,98.0,"Comedy, Drama",263324466.66,877351619.45,Netflix
Slay,18+,86.0,"Comedy, Drama, International",78124546.69,258015833.55,Netflix
Takizawa Kabuki ZERO 2020 The Movie,PG,139.0,"International, Musicals",198335229.76,660018047.63,Netflix
The Paper Tigers,13+,111.0,"Action, Comedy",245349437.86,817240477.98,Netflix
Quam's Money,18+,115.0,"Comedy, Drama, International",167005042.67,555245291.52,Netflix
The Swarm,13+,102.0,"Drama, Horror, International",159365522.93,529697613.3,Netflix
Vivo,PG,100.0,"Family and Children, Musicals",73313834.98,241928105.67,Netflix
Chennai Express,13+,135.0,"Action, Comedy, International",28837727.57,93193457.53,Netflix
City of God: 10 Years Later,18+,69.0,"Documentary and Educational, International",269267511.63,897226036.38,Netflix
Esperando la carroza,18+,95.0,"Comedy, International, Thriller",270224999.09,900428015.36,Netflix
Lady Boss: The Jackie Collins Story,13+,97.0,Documentary and Educational,190297335.72,633138147.13,Netflix
Tango Feroz,18+,124.0,"Adventure, Drama, International",102369907.52,339095888.07,Netflix
'76,PG,118.0,"Drama, International",105413662.81,349274653.66,Netflix
Aftermath,18+,115.0,Horror,218060747.98,725983083.3,Netflix
Heavy,R,104.0,Drama,266238840.86,887097715.62,Netflix
Ije: The Journey,18+,106.0,"Drama, International",234182788.21,779897558.3,Netflix
Pray Away,13+,102.0,"Diversity, Documentary and Educational",192967462.2,642067442.99,Netflix
Shiny_Flakes: The Teenage Drug Lord,18+,97.0,"Documentary and Educational, International",26157849.53,84231551.0,Netflix
Beethoven,PG,87.0,"Comedy, Family and Children",49326985.51,161712551.22,Netflix
Beethoven's 2nd,PG,88.0,"Comedy, Family and Children",269667702.37,898564333.11,Netflix
Beowulf,13+,114.0,"Action, Sci-Fi",182322288.84,606468416.75,Netflix
Boyka: Undisputed,R,90.0,Action,3749918.43,9296131.91,Netflix
Catch Me If You Can,13+,142.0,Drama,31339991.32,101561395.71,Netflix
Cloudy with a Chance of Meatballs,PG,90.0,"Comedy, Family and Children, Sci-Fi",199387028.96,663535418.93,Netflix
Deep Blue Sea,R,105.0,"Action, Horror, Sci-Fi",2513413.57,5161077.69,Netflix
Ferris Bueller's Day Off,13+,103.0,"Adventure, Comedy, Thriller",49081607.37,160891970.61,Netflix
Five Feet Apart,13+,116.0,Drama,165071403.02,548778915.99,Netflix
Freedomland,R,113.0,"Drama, Thriller",207876664.11,691926008.17,Netflix
Good Luck Chuck,R,99.0,"Comedy, Drama",195936416.59,651996063.38,Netflix
I missed you: Director's Cut,13+,96.0,"Drama, International",68056523.53,224346882.53,Netflix
Inception,13+,148.0,"Action, Sci-Fi, Thriller",213941587.18,712208003.43,Netflix
Magnolia,R,189.0,Drama,71937477.16,237325362.59,Netflix
Major Payne,13+,97.0,Comedy,98294509.75,325467158.19,Netflix
My Girl,13+,102.0,Drama,224200930.13,746516755.98,Netflix
My Girl 2,PG,99.0,"Comedy, Drama, Family and Children",195240236.82,649667935.76,Netflix
Open Season: Scared Silly,PG,85.0,"Comedy, Family and Children",254917799.74,849238488.15,Netflix
Pineapple Express,R,112.0,"Action, Comedy",197626254.8,657647131.01,Netflix
Planet 51,PG,91.0,"Comedy, Family and Children, Sci-Fi",170924272.4,568351772.48,Netflix
Poms,13+,91.0,Comedy,29008755.58,93765400.35,Netflix
Seabiscuit,13+,141.0,"Drama, Sports",110947025.11,367779031.48,Netflix
Space Cowboys,13+,130.0,"Action, Drama, Sci-Fi",80295507.94,265275847.44,Netflix
Team America: World Police,R,98.0,"Action, Comedy, Thriller",73952903.37,244065244.41,Netflix
The Edge of Seventeen,R,105.0,"Comedy, Drama",291930155.87,973013253.7,Netflix
The Haunting in Connecticut 2: Ghosts of Georgia,R,101.0,Horror,118536219.68,393158414.89,Netflix
The Last Boy Scout,R,105.0,"Action, Comedy",267721920.0,892057350.52,Netflix
The Lincoln Lawyer,R,118.0,"Drama, Thriller",189710449.17,631175512.13,Netflix
The Losers,13+,97.0,Action,238648579.76,794831822.41,Netflix
The Machinist,R,102.0,"Drama, Thriller",151288490.84,502686829.4,Netflix
The Net,13+,114.0,Thriller,173494261.5,576946194.24,Netflix
The Original Kings of Comedy,R,111.0,Comedy,148262790.45,492568442.05,Netflix
Valentine's Day,13+,125.0,"Comedy, Drama",59377653.35,195323463.5,Netflix
The Lost Café,13+,76.0,"Drama, International",217013182.46,722479870.05,Netflix
The Vault,R,118.0,"Action, International, Thriller",84950936.37,280844285.2,Netflix
Eyes of a Thief,13+,103.0,"Drama, International",8270473.96,24413534.83,Netflix
I'm Glad I Did,13+,114.0,"Documentary and Educational, International",193996216.48,645507748.68,Netflix
Pomegranates and Myrrh,13+,95.0,"Drama, International",53956093.14,177192968.34,Netflix
Rurouni Kenshin: The Beginning,18+,138.0,"Action, International",282197116.72,940464538.49,Netflix
The Last Mercenary,18+,112.0,"Action, Comedy, International",286224644.52,953933184.14,Netflix
Flower Girl,PG,94.0,"Comedy, Drama, International",274544452.68,914872903.78,Netflix
Resort to Love,13+,102.0,"Comedy, Drama",111677451.38,370221684.39,Netflix
Bartkowiak,18+,92.0,"Action, International",5621528.34,15555070.87,Netflix
Fantastic Fungi,13+,81.0,Documentary and Educational,278567250.21,928325730.73,Netflix
Department,18+,143.0,"Action, International",129027060.35,428241329.9,Netflix
Hostage House,13+,86.0,Thriller,290029790.89,966658153.56,Netflix
Mimi,13+,132.0,"Comedy, Drama, International",289122373.15,963623615.09,Netflix
The Operative,18+,117.0,"Drama, International, Thriller",256049827.18,853024154.52,Netflix
Django Unchained,R,165.0,"Action, Drama",89040218.73,294519447.18,Netflix
A Second Chance:  Rivals!,PG,91.0,"Family and Children, Sports",116144220.85,385159218.83,Netflix
African America,18+,97.0,"Drama, International",255489864.78,851151557.85,Netflix
Bankrolled,18+,97.0,"Comedy, International",95759679.54,316990312.96,Netflix
Blood Red Sky,18+,123.0,"Action, Horror, International",51678331.26,169575797.41,Netflix
Kingdom: Ashin of the North,18+,94.0,"Horror, International, Thriller",167483577.48,556845582.33,Netflix
The Last Letter From Your Lover,18+,111.0,Drama,280910277.47,936161158.68,Netflix
9to5: The Story of a Movement,18+,85.0,Documentary and Educational,209112909.21,696060193.7,Netflix
Chhota Bheem - Dinosaur World,G,65.0,Family and Children,171448289.86,570104163.97,Netflix
Chhota Bheem - Neeli Pahaadi,PG,64.0,Family and Children,30055771.64,97266776.12,Netflix
Chhota Bheem & Ganesh,PG,68.0,Family and Children,184887160.78,615045725.98,Netflix
Chhota Bheem & Krishna: Mayanagari,PG,67.0,Family and Children,297026101.18,990054844.72,Netflix
Chhota Bheem & Krishna: Pataliputra- City of the Dead,PG,66.0,Family and Children,42885120.56,140170006.84,Netflix
Chhota Bheem And The Broken Amulet,PG,64.0,Family and Children,155980566.06,518377819.4,Netflix
Chhota Bheem And The Crown of Valhalla,PG,64.0,Family and Children,263334548.51,877385334.62,Netflix
Chhota Bheem and the Incan Adventure,PG,65.0,Family and Children,222489816.71,740794540.89,Netflix
Chhota Bheem and The ShiNobi Secret,PG,64.0,Family and Children,209407706.56,697046039.42,Netflix
Chhota Bheem Aur Hanuman,PG,68.0,Family and Children,211042741.11,702513835.58,Netflix
Chhota Bheem aur Krishna,PG,68.0,Family and Children,108487854.21,359555202.1,Netflix
Chhota Bheem aur Krishna vs Zimbara,PG,64.0,Family and Children,88783961.44,293662485.08,Netflix
Chhota Bheem in African Safari,PG,62.0,Family and Children,242998985.49,809380219.36,Netflix
Chhota Bheem Ka Roosi Romanch,G,63.0,Family and Children,243223905.01,810132383.34,Netflix
Chhota Bheem: Bheem vs Aliens,PG,69.0,"Family and Children, Sports",260254623.26,867085611.35,Netflix
Chhota Bheem: Dholakpur to Kathmandu,PG,70.0,Family and Children,274058925.21,913249228.5,Netflix
Chhota Bheem: Dus Pe Dus,PG,63.0,Family and Children,153891377.26,511391264.62,Netflix
Chhota Bheem: Journey to Petra,PG,68.0,Family and Children,150953372.11,501566143.06,Netflix
Chhota Bheem: Master of Shaolin,PG,74.0,Family and Children,239690258.51,798315349.45,Netflix
Chhota Bheem: The Rise of Kirmada,PG,68.0,Family and Children,195339215.3,649998934.38,Netflix
Cousins,18+,99.0,Drama,210888096.3,701996680.57,Netflix
Wannabe Courageous,13+,90.0,"Comedy, International",238942008.16,795813090.17,Netflix
Words Bubble Up Like Soda Pop,G,87.0,"Animation, Family and Children, International",267111597.2,890016341.28,Netflix
Sanitation Day,13+,105.0,"Drama, International, Thriller",102060551.9,338061357.34,Netflix
Trollhunters: Rise of the Titans,PG,106.0,Family and Children,113299302.84,375645394.34,Netflix
Milkwater,18+,102.0,"Comedy, Drama",29100600.01,94072541.65,Netflix
The Tambour of Retribution,13+,91.0,"Drama, International",173905762.16,578322312.98,Netflix
Cosmic Sin,R,88.0,Action,11746739.87,36038679.57,Netflix
2 Weeks in Lagos,PG,107.0,"Drama, International",140213807.42,465651458.33,Netflix
Deep,18+,101.0,"Drama, International, Thriller",163250745.78,542690370.24,Netflix
Fear Street Part 3: 1666,R,114.0,"Diversity, Horror",86675834.39,286612598.0,Netflix
La ley de Herodes,R,123.0,"Comedy, International",177659144.91,590874177.24,Netflix
The Beguiled,R,94.0,"Drama, Thriller",10119574.73,30597199.91,Netflix
The Book of Henry,13+,105.0,Drama,12167108.44,37444453.93,Netflix
The Twilight Saga: Breaking Dawn: Part 1,13+,117.0,Drama,246957567.64,822618300.6,Netflix
The Twilight Saga: Breaking Dawn: Part 2,13+,115.0,Drama,108697001.78,360254622.35,Netflix
The Twilight Saga: Eclipse,13+,124.0,Drama,38991093.28,127147806.6,Netflix
The Twilight Saga: New Moon,13+,131.0,Drama,157150734.76,522291035.73,Netflix
Twilight,R,122.0,"Action, Drama",231228072.38,770016553.74,Netflix
A Perfect Fit,PG,113.0,"Comedy, Drama, International",65530487.22,215899445.39,Netflix
Cheech & Chong's Still Smokin,18+,91.0,"Comedy, Thriller",187244252.27,622928186.77,Netflix
Emicida: AmarElo - Live in São Paulo,18+,100.0,"Documentary and Educational, International, Musicals",26518892.03,85438930.25,Netflix
Lift Like a Girl,PG,93.0,"Documentary and Educational, International, Sports",16452834.63,51776553.0,Netflix
My Amanda,13+,90.0,"Drama, International",159875034.84,531401496.1,Netflix
Surf's Up,PG,86.0,"Comedy, Family and Children, Sports",162649901.36,540681058.1,Netflix
The Unknown Saint,13+,100.0,"Comedy, Drama",191591540.55,637466158.51,Netflix
This Changes Everything,18+,96.0,Documentary and Educational,218101308.78,726118724.59,Netflix
A Classic Horror Story,18+,95.0,"Horror, International",292779771.76,975854494.25,Netflix
Gunpowder Milkshake,R,115.0,"Action, Comedy",155373804.14,516348718.27,Netflix
Private Network: Who Killed Manuel Buendía?,18+,100.0,"Documentary and Educational, International",97563985.41,323024177.29,Netflix
The Guide to the Perfect Family,18+,102.0,"Comedy, Drama, International",238760672.24,795206676.15,Netflix
American Woman,18+,87.0,Drama,81978843.13,270905168.04,Netflix
Day of Destiny,PG,110.0,"Drama, Family and Children, International",24458458.02,78548535.7,Netflix
Born to Play,18+,93.0,"Documentary and Educational, Sports",8579872.28,25448208.34,Netflix
American Ultra,R,96.0,"Action, Comedy",288831875.99,962652149.84,Netflix
The Stand-Up,18+,93.0,Comedy,250958056.03,835996522.5,Netflix
The Tour,18+,93.0,"Comedy, Documentary and Educational, International",209096287.62,696004608.67,Netflix
Fear Street Part 2: 1978,R,111.0,Horror,123276930.38,409012049.12,Netflix
Finding Hubby,13+,105.0,"Comedy, Drama, International",52815001.7,173376990.64,Netflix
